trainfn,actfn1,actfn2,errfn,PerfTrain,PerfTest,PerfValidate,PerfTotal,Neurons,Slno
trainlm,tansig,purelin,sse,100,100,66.6666666666667,95.4545454545455,19,525
trainlm,tansig,logsig,sse,93.75,100,66.6666666666667,90.9090909090909,12,292
trainlm,tansig,tansig,crossentropy,93.75,100,66.6666666666667,90.9090909090909,18,504
trainlm,tansig,logsig,crossentropy,93.75,100,66.6666666666667,90.9090909090909,18,505
trainlm,logsig,tansig,sse,93.75,100,66.6666666666667,90.9090909090909,18,509
trainlm,tansig,purelin,crossentropy,93.75,100,66.6666666666667,90.9090909090909,19,515
trainlm,logsig,softmax,sse,93.75,100,66.6666666666667,90.9090909090909,19,533
trainlm,logsig,softmax,sse,93.75,100,66.6666666666667,90.9090909090909,20,565
trainlm,logsig,logsig,sse,93.75,100,33.3333333333333,86.3636363636364,10,230
trainlm,tansig,tansig,sse,93.75,100,33.3333333333333,86.3636363636364,10,246
trainlm,logsig,tansig,crossentropy,93.75,100,33.3333333333333,86.3636363636364,10,255
trainlm,logsig,logsig,crossentropy,93.75,100,33.3333333333333,86.3636363636364,10,256
trainbfg,tansig,purelin,sse,93.75,100,33.3333333333333,86.3636363636364,14,367
trainlm,tansig,purelin,crossentropy,87.5,100,66.6666666666667,86.3636363636364,16,419
trainlm,logsig,logsig,sse,87.5,100,66.6666666666667,86.3636363636364,16,422
trainlm,tansig,tansig,sse,87.5,100,66.6666666666667,86.3636363636364,18,502
trainlm,logsig,softmax,crossentropy,93.75,100,33.3333333333333,86.3636363636364,20,549
trainlm,logsig,logsig,crossentropy,100,66.6666666666667,33.3333333333333,86.3636363636364,20,576
trainlm,logsig,softmax,sse,75,100,100,81.8181818181818,4,53
trainlm,logsig,purelin,sse,81.25,100,66.6666666666667,81.8181818181818,6,124
trainlm,tansig,logsig,crossentropy,87.5,66.6666666666667,66.6666666666667,81.8181818181818,8,185
trainlm,tansig,logsig,sse,87.5,66.6666666666667,66.6666666666667,81.8181818181818,10,228
trainlm,logsig,tansig,sse,81.25,66.6666666666667,100,81.8181818181818,10,253
trainlm,logsig,purelin,crossentropy,100,66.6666666666667,0,81.8181818181818,11,267
trainlm,tansig,tansig,crossentropy,81.25,66.6666666666667,100,81.8181818181818,11,280
trainlm,tansig,logsig,crossentropy,81.25,100,66.6666666666667,81.8181818181818,11,281
trainlm,tansig,purelin,crossentropy,93.75,66.6666666666667,33.3333333333333,81.8181818181818,12,291
trainlm,logsig,purelin,crossentropy,93.75,66.6666666666667,33.3333333333333,81.8181818181818,12,299
trainbfg,logsig,purelin,sse,93.75,66.6666666666667,33.3333333333333,81.8181818181818,12,302
trainlm,tansig,logsig,crossentropy,81.25,100,66.6666666666667,81.8181818181818,12,313
trainlm,logsig,logsig,crossentropy,81.25,100,66.6666666666667,81.8181818181818,12,320
trainlm,logsig,purelin,crossentropy,100,33.3333333333333,33.3333333333333,81.8181818181818,14,363
trainlm,tansig,purelin,crossentropy,93.75,66.6666666666667,33.3333333333333,81.8181818181818,15,387
trainlm,logsig,softmax,crossentropy,87.5,66.6666666666667,66.6666666666667,81.8181818181818,15,389
trainlm,logsig,purelin,crossentropy,87.5,66.6666666666667,66.6666666666667,81.8181818181818,15,395
trainbfg,tansig,purelin,sse,81.25,100,66.6666666666667,81.8181818181818,15,399
trainlm,logsig,softmax,sse,87.5,66.6666666666667,66.6666666666667,81.8181818181818,15,405
trainlm,logsig,softmax,crossentropy,81.25,100,66.6666666666667,81.8181818181818,16,421
trainlm,tansig,softmax,sse,81.25,100,66.6666666666667,81.8181818181818,16,424
trainlm,tansig,purelin,sse,87.5,66.6666666666667,66.6666666666667,81.8181818181818,16,429
trainlm,tansig,logsig,sse,93.75,66.6666666666667,33.3333333333333,81.8181818181818,17,452
trainlm,tansig,tansig,sse,93.75,66.6666666666667,33.3333333333333,81.8181818181818,17,470
trainlm,tansig,tansig,crossentropy,93.75,66.6666666666667,33.3333333333333,81.8181818181818,17,472
trainlm,tansig,logsig,crossentropy,93.75,66.6666666666667,33.3333333333333,81.8181818181818,17,473
trainlm,logsig,purelin,sse,87.5,66.6666666666667,66.6666666666667,81.8181818181818,17,476
trainlm,logsig,softmax,crossentropy,93.75,66.6666666666667,33.3333333333333,81.8181818181818,18,485
trainlm,logsig,purelin,crossentropy,87.5,66.6666666666667,66.6666666666667,81.8181818181818,18,491
trainlm,tansig,purelin,sse,93.75,66.6666666666667,33.3333333333333,81.8181818181818,18,493
trainbfg,logsig,purelin,sse,93.75,66.6666666666667,33.3333333333333,81.8181818181818,18,494
trainlm,logsig,purelin,sse,93.75,66.6666666666667,33.3333333333333,81.8181818181818,18,508
trainlm,logsig,tansig,crossentropy,81.25,100,66.6666666666667,81.8181818181818,18,511
trainlm,logsig,softmax,crossentropy,87.5,100,33.3333333333333,81.8181818181818,19,517
trainlm,tansig,tansig,sse,81.25,100,66.6666666666667,81.8181818181818,19,534
trainlm,tansig,tansig,crossentropy,93.75,33.3333333333333,66.6666666666667,81.8181818181818,19,536
trainlm,logsig,purelin,sse,87.5,66.6666666666667,66.6666666666667,81.8181818181818,19,540
trainlm,tansig,purelin,crossentropy,81.25,100,66.6666666666667,81.8181818181818,20,547
trainlm,tansig,softmax,sse,81.25,100,66.6666666666667,81.8181818181818,20,552
trainlm,tansig,softmax,crossentropy,81.25,100,66.6666666666667,81.8181818181818,20,556
trainbfg,tansig,softmax,sse,81.25,100,66.6666666666667,81.8181818181818,20,567
trainlm,tansig,purelin,crossentropy,81.25,100,33.3333333333333,77.2727272727273,3,3
trainbfg,logsig,softmax,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,3,17
trainlm,tansig,purelin,crossentropy,75,66.6666666666667,100,77.2727272727273,4,35
trainlm,logsig,logsig,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,4,38
trainbfg,tansig,softmax,crossentropy,75,100,66.6666666666667,77.2727272727273,4,59
trainlm,tansig,softmax,crossentropy,87.5,66.6666666666667,33.3333333333333,77.2727272727273,5,76
trainlm,tansig,tansig,sse,75,100,66.6666666666667,77.2727272727273,5,86
trainbfg,tansig,softmax,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,5,87
trainlm,tansig,tansig,crossentropy,68.75,100,100,77.2727272727273,5,88
trainlm,tansig,purelin,crossentropy,75,66.6666666666667,100,77.2727272727273,6,99
trainlm,logsig,purelin,crossentropy,75,66.6666666666667,100,77.2727272727273,6,107
trainlm,tansig,purelin,sse,75,66.6666666666667,100,77.2727272727273,6,109
trainbfg,logsig,softmax,crossentropy,75,100,66.6666666666667,77.2727272727273,7,129
trainlm,tansig,logsig,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,7,132
trainbfg,logsig,purelin,sse,75,100,66.6666666666667,77.2727272727273,7,142
trainbfg,logsig,softmax,sse,75,100,66.6666666666667,77.2727272727273,7,145
trainbfg,tansig,softmax,sse,75,100,66.6666666666667,77.2727272727273,7,151
trainlm,tansig,logsig,crossentropy,81.25,66.6666666666667,66.6666666666667,77.2727272727273,7,153
trainlm,logsig,purelin,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,7,156
trainlm,logsig,logsig,crossentropy,81.25,66.6666666666667,66.6666666666667,77.2727272727273,7,160
trainlm,tansig,logsig,sse,87.5,66.6666666666667,33.3333333333333,77.2727272727273,8,164
trainbfg,logsig,logsig,sse,68.75,100,100,77.2727272727273,8,178
trainbfg,tansig,logsig,sse,68.75,100,100,77.2727272727273,8,180
trainlm,tansig,tansig,sse,81.25,66.6666666666667,66.6666666666667,77.2727272727273,8,182
trainbfg,logsig,softmax,crossentropy,68.75,100,100,77.2727272727273,9,193
trainbfg,tansig,logsig,sse,75,66.6666666666667,100,77.2727272727273,9,212
trainlm,tansig,tansig,sse,68.75,100,100,77.2727272727273,9,214
